22841-22834-MA0000517,adult_old,MPATH458, skin 133A
Probe Array Lot: 2006849
Operator Name: ec
Sample Type: 
Sample Description: 
Project: 
Comments: 
Reagents: 
Reagent Lot: 
Algorithm: Statistical
Corner+ Avg:169, Count:32
Corner- Avg:9762, Count:32
BF= Alpha1=0.05 Alpha2=0.065 Tau=0.015 Gamma1H=0.0045 Gamma1L=0.0045 Gamma2H=0.006 Gamma2L=0.006 Perturbation=1.1 TGT=2500 NF=1.000000 SF=15.616271 SFGene=All 
Background=Avg:80.00,Stdev:2.49,Max:87.7,Min:75.2 Noise=Avg:4.99,Stdev:0.45,Max:6.6,Min:4.1 RawQ=3.25 

Probe Set Name	Stat Pairs	Stat Pairs Used	Signal	Detection	Detection p-value	Stat Common Pairs	Signal Log Ratio	Signal Log Ratio Low	Signal Log Ratio High	Change	Change p-value	Positive	Negative	Pairs	Pairs Used	Pairs InAvg	Pos Fraction	Log Avg	Pos/Neg	Avg Diff	Abs Call	Inc	Dec	Inc Ratio	Dec Ratio	Pos Change	Neg Change	Inc/Dec	DPos-DNeg Ratio	Log Avg Ratio Change	Diff Call	Avg Diff Change	B=A	Fold Change	Sort Score	
38487_at	16	16	4073.9	P	0.004180																															
38521_at	16	16	1372.2	A	0.107301																															
38671_at	16	16	3628.7	P	0.011447																															
38691_s_at	16	16	1171.1	A	0.267463																															
38703_at	16	16	5011.8	P	0.000468																															
38707_r_at	16	16	8990.4	A	0.138765																															
38710_at	16	16	11627.1	P	0.000805																															
38766_at	16	16	2761.7	P	0.002617																															
38892_at	16	16	2336.0	P	0.000805																															
38918_at	16	16	1870.9	P	0.001602																															
38964_r_at	16	16	4020.8	P	0.021866																															
39248_at	16	16	3107.9	P	0.000266																															
39249_at	16	16	895.2	A	0.218983																															
39313_at	16	16	602.8	P	0.043968																															
39318_at	16	16	1024.5	A	0.117160																															
39402_at	16	16	769.1	A	0.250724																															
39548_at	16	16	648.3	P	0.019304																															
39549_at	16	16	494.0	P	0.006532																															
39582_at	16	16	1428.6	P	0.000673																															
39650_s_at	16	16	958.7	P	0.001354																															
396_f_at	11	11	8346.5	M	0.056152																															
39705_at	16	16	2475.4	P	0.004180																															
39729_at	16	16	10253.1	P	0.000219																															
39763_at	16	16	7789.5	P	0.000468																															
39817_s_at	16	16	5721.7	P	0.000959																															
39835_at	16	16	1401.3	P	0.031336																															
39854_r_at	16	16	11284.1	A	0.138765																															
39891_at	16	16	1124.4	P	0.019304																															
39966_at	16	16	638.8	P	0.006532																															
40016_g_at	16	16	4821.0	P	0.000673																															
40020_at	16	16	801.7	P	0.009985																															
40093_at	16	16	5362.7	P	0.000673																															
40148_at	16	16	1144.7	P	0.008689																															
40149_at	16	16	2348.3	P	0.001602																															
40189_at	16	16	15110.3	P	0.000219																															
40225_at	16	16	6882.2	P	0.000219																															
40255_at	16	16	1019.8	P	0.004180																															
40273_at	16	16	1934.4	A	0.117160																															
40284_at	16	16	50.4	A	0.837065																															
40359_at	16	16	4852.7	P	0.035163																															
40420_at	16	16	1365.0	P	0.001602																															
40446_at	16	16	7650.4	P	0.000562																															
40465_at	16	16	1788.9	P	0.001602																															
40472_at	16	16	93.1	A	0.765443																															
40489_at	16	16	4918.3	P	0.003067																															
40524_at	16	16	720.9	A	0.066865																															
40560_at	16	16	885.1	A	0.250724																															
40562_at	16	16	2962.4	P	0.000388																															
40569_at	16	16	4962.7	P	0.000468																															
40612_at	16	16	709.5	P	0.043968																															
40640_at	16	16	1071.5	M	0.054470																															
40665_at	16	16	119.7	A	0.175989																															
40687_at	16	16	438.4	A	0.162935																															
40829_at	16	16	3533.5	P	0.039365																															
40837_at	16	16	6346.8	P	0.000959																															
40850_at	16	16	1663.5	A	0.138765																															
41037_at	16	16	928.0	P	0.019304																															
41047_at	16	16	7304.6	P	0.000219																															
41113_at	16	16	964.8	P	0.007543																															
41160_at	16	16	5258.6	P	0.001892																															
41220_at	16	16	24411.2	P	0.004180																															
41329_at	16	16	1949.4	P	0.000673																															
41386_i_at	13	13	3956.0	P	0.006552																															
41387_r_at	16	16	2050.6	P	0.008689																															
41397_at	16	16	707.5	A	0.320830																															
41469_at	16	16	711.6	A	0.127645																															
41512_at	16	16	879.4	P	0.008689																															
41553_at	16	16	422.6	M	0.054470																															
41577_at	16	16	84.1	A	0.926170																															
41644_at	16	16	9296.5	P	0.000562																															
41657_at	16	16	2679.9	P	0.035163																															
41660_at	16	16	1013.9	P	0.002617																															
41856_at	16	16	1833.8	P	0.005643																															
41858_at	16	16	3400.5	P	0.003585																															
564_at	16	16	3671.6	P	0.000388																															
632_at	16	16	3056.0	P	0.004863																															
635_s_at	16	16	835.4	M	0.060419																															
823_at	16	16	17282.1	P	0.000322																															
42361_g_at	16	16	411.1	P	0.035163																															
43427_at	16	16	1881.2	P	0.003585																															
43511_s_at	16	16	7261.4	P	0.000562																															
43544_at	16	16	1977.5	P	0.000388																															
43934_at	16	16	1409.6	P	0.002617																															
43977_at	16	16	5698.7	P	0.008689																															
44040_at	16	16	1341.3	A	0.117160																															
44065_at	16	16	641.5	P	0.031336																															
44111_at	16	16	1942.4	P	0.006532																															
44120_at	16	16	3005.3	P	0.000805																															
44146_at	16	16	3855.4	P	0.009985																															
44563_at	16	16	3421.2	P	0.000468																															
44617_at	16	16	2040.1	P	0.006532																															
44654_at	16	16	5218.1	P	0.005643																															
44669_at	16	16	1549.6	P	0.006532																															
44673_at	16	16	1063.7	P	0.048995																															
