21470-21452-fetal,normal,MA0000216 spinal column 133B
Probe Array Lot: 
Operator Name: ec
Sample Type: 
Sample Description: 
Project: 
Comments: 
Reagents: 
Reagent Lot: 
Algorithm: Statistical
Corner+ Avg:97, Count:32
Corner- Avg:8712, Count:32
BF= Alpha1=0.05 Alpha2=0.065 Tau=0.015 Gamma1H=0.0045 Gamma1L=0.0045 Gamma2H=0.006 Gamma2L=0.006 Perturbation=1.1 TGT=2500 NF=1.000000 SF=24.506239 SFGene=All 
Background=Avg:66.33,Stdev:2.48,Max:76.0,Min:61.5 Noise=Avg:3.49,Stdev:0.25,Max:4.3,Min:2.9 RawQ=2.67 

Probe Set Name	Stat Pairs	Stat Pairs Used	Signal	Detection	Detection p-value	Stat Common Pairs	Signal Log Ratio	Signal Log Ratio Low	Signal Log Ratio High	Change	Change p-value	Positive	Negative	Pairs	Pairs Used	Pairs InAvg	Pos Fraction	Log Avg	Pos/Neg	Avg Diff	Abs Call	Inc	Dec	Inc Ratio	Dec Ratio	Pos Change	Neg Change	Inc/Dec	DPos-DNeg Ratio	Log Avg Ratio Change	Diff Call	Avg Diff Change	B=A	Fold Change	Sort Score	
222427_s_at	11	11	14818.4	P	0.000732																															
222428_s_at	11	11	18028.3	P	0.000244																															
222429_at	11	11	7728.0	P	0.014160																															
222430_s_at	11	11	10816.6	P	0.000732																															
222431_at	11	11	45772.3	P	0.000244																															
222432_s_at	11	11	9711.4	P	0.000244																															
222433_at	11	11	15991.0	P	0.000244																															
222434_at	11	11	3960.4	P	0.001221																															
222435_s_at	11	11	9748.5	P	0.000732																															
222436_s_at	11	11	6737.8	P	0.000732																															
222437_s_at	11	11	23077.5	P	0.001953																															
222438_at	11	11	3075.6	P	0.000244																															
222439_s_at	11	11	145.1	A	0.904785																															
222440_s_at	11	11	8823.8	P	0.000244																															
222441_x_at	11	11	8982.0	P	0.004150																															
222442_s_at	11	11	12267.9	P	0.000244																															
222443_s_at	11	11	6525.2	P	0.001221																															
222444_at	11	11	10644.9	P	0.001221																															
222445_at	11	11	15204.6	P	0.000244																															
222446_s_at	11	11	7180.0	P	0.001953																															
222447_at	11	11	12150.5	P	0.000732																															
222448_s_at	11	11	9597.7	P	0.000244																															
222449_at	11	11	4969.9	P	0.004150																															
222450_at	11	11	11031.4	P	0.010742																															
222451_s_at	11	11	10754.3	P	0.001953																															
222452_s_at	11	11	7317.9	P	0.002930																															
222453_at	11	11	11493.7	P	0.000244																															
222454_s_at	11	11	2476.5	A	0.171387																															
222455_s_at	11	11	2024.6	P	0.014160																															
222456_s_at	11	11	541.9	P	0.046143																															
